Tiempo,x_ee,y_ee
3.53,0.219479792076581,0.185002391816653
3.54,0.22051952556412,0.185754046398162
3.55,0.221599112993549,0.186446985820943
3.56,0.222716153824628,0.187079701158595
3.57,0.223868247517116,0.187650683484717
3.58,0.225052993530774,0.188158423872909
3.59,0.226267991325359,0.188601413396769
3.6,0.227510840360632,0.188978143129896
3.61,0.228778798617198,0.189287330452459
3.62,0.230067758159048,0.189528597970898
3.63,0.231373269571018,0.189701794598221
3.64,0.232690883437946,0.189806769247439
3.65,0.234016150344667,0.189843370831559
3.66,0.235344620876019,0.189811448263591
3.67,0.236671845616838,0.189710850456543
3.68,0.237993375151961,0.189541426323425
3.69,0.239304760066224,0.189303024777246
3.7,0.240601550944464,0.188995494731015
3.71,0.241879554143025,0.188618955628322
3.72,0.243135599104276,0.188174609035085
3.73,0.244366771042093,0.187663927047804
3.74,0.245570155170351,0.187088381762978
3.75,0.246742836702927,0.186449445277108
3.76,0.247881900853697,0.185748589686692
3.77,0.248984432836537,0.18498728708823
3.78,0.250047517865323,0.184167009578222
3.79,0.25106824115393,0.183289229253168
3.8,0.252043687916235,0.182355418209566
3.81,0.252971461842717,0.181367216937607
3.82,0.25385124053027,0.180326939502239
3.83,0.254683220052391,0.179237068362102
3.84,0.255467596482579,0.178100085975833
3.85,0.25620456589433,0.176918474802073
3.86,0.256894324361142,0.175694717299459
3.87,0.257537067956511,0.174431295926631
3.88,0.258132992753937,0.173130693142228
3.89,0.258682294826915,0.171795391404888
3.9,0.259185170248944,0.17042787317325
3.91,0.259642095871566,0.169030529806328
3.92,0.260054671658498,0.167605388264635
3.93,0.260424778351507,0.166154384409059
3.94,0.260754296692355,0.164679454100488
3.95,0.261045107422805,0.163182533199811
3.96,0.261299091284623,0.161665557567916
3.97,0.261518129019571,0.16013046306569
3.98,0.261704101369414,0.158579185554021
3.99,0.261858889075915,0.157013660893799
4,0.261984372880839,0.15543582494591
4.01,0.262082441243939,0.153847449654567
4.02,0.262155013496935,0.152249651297278
4.03,0.262204016689538,0.150643382234877
4.04,0.262231377871457,0.149029594828194
4.05,0.262239024092404,0.147409241438064
4.06,0.262228882402088,0.145783274425318
4.07,0.262202879850219,0.144152646150789
4.08,0.262162943486508,0.142518308975309
4.09,0.262111000360665,0.140881215259711
4.1,0.2620489775224,0.139242317364828
